time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnapol_rbs	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	rnapol	10.000000	0.000000	0.000000
1.015895	__proteinX_rbs	0.000000	0.000000	0.000000
1.015895	__proteinY_rbs	0.000000	0.000000	0.000000
1.015895	__ribosome	100.000000	0.000000	0.000000
1.015895	__rnapol_rbs	1.000000	0.000000	0.000000
1.015895	p1	0.000000	0.000000	0.000000
1.015895	rnapol	8.000000	1.000000	0.000000
2.008496	__proteinX_rbs	0.000000	0.000000	0.000000
2.008496	__proteinY_rbs	0.000000	0.000000	0.000000
2.008496	__ribosome	97.000000	0.000000	0.000000
2.008496	__rnapol_rbs	1.000000	0.000000	0.000000
2.008496	p1	1.000000	0.000000	0.000000
2.008496	rnapol	7.000000	3.000000	1.000000
3.001602	__proteinX_rbs	0.000000	0.000000	0.000000
3.001602	__proteinY_rbs	0.000000	0.000000	0.000000
3.001602	__ribosome	92.000000	0.000000	0.000000
3.001602	__rnapol_rbs	1.000000	0.000000	0.000000
3.001602	p1	0.000000	0.000000	0.000000
3.001602	rnapol	6.000000	3.000000	2.666667
4.002538	__proteinX_rbs	0.000000	0.000000	0.000000
4.002538	__proteinY_rbs	0.000000	0.000000	0.000000
4.002538	__ribosome	88.000000	0.000000	0.000000
4.002538	__rnapol_rbs	0.000000	0.000000	0.000000
4.002538	p1	0.000000	0.000000	0.000000
4.002538	rnapol	5.000000	4.000000	3.000000
5.001868	__proteinX_rbs	0.000000	0.000000	0.000000
5.001868	__proteinY_rbs	0.000000	0.000000	0.000000
5.001868	__ribosome	84.000000	0.000000	0.000000
5.001868	__rnapol_rbs	3.000000	0.000000	0.000000
5.001868	p1	1.000000	0.000000	0.000000
5.001868	rnapol	4.000000	5.000000	3.200000
5.999526	__proteinX_rbs	0.000000	0.000000	0.000000
5.999526	__proteinY_rbs	0.000000	0.000000	0.000000
5.999526	__ribosome	78.000000	0.000000	0.000000
5.999526	__rnapol_rbs	3.000000	0.000000	0.000000
5.999526	p1	1.000000	0.000000	0.000000
5.999526	rnapol	2.000000	7.000000	3.142857
6.999045	__proteinX_rbs	0.000000	0.000000	0.000000
6.999045	__proteinY_rbs	0.000000	0.000000	0.000000
6.999045	__ribosome	69.000000	0.000000	0.000000
6.999045	__rnapol_rbs	5.000000	0.000000	0.000000
6.999045	p1	1.000000	0.000000	0.000000
6.999045	proteinX	0.000000	2.000000	1.500000
6.999045	rnapol	1.000000	9.000000	3.111111
8.001213	__proteinX_rbs	3.000000	0.000000	0.000000
8.001213	__proteinY_rbs	1.000000	0.000000	0.000000
8.001213	__ribosome	62.000000	0.000000	0.000000
8.001213	__rnapol_rbs	3.000000	0.000000	0.000000
8.001213	p1	1.000000	0.000000	0.000000
8.001213	proteinX	1.000000	3.000000	0.666667
8.001213	proteinY	0.000000	1.000000	0.000000
8.001213	rnapol	3.000000	9.000000	4.000000
9.001330	__proteinX_rbs	2.000000	0.000000	0.000000
9.001330	__proteinY_rbs	1.000000	0.000000	0.000000
9.001330	__ribosome	54.000000	0.000000	0.000000
9.001330	__rnapol_rbs	4.000000	0.000000	0.000000
9.001330	p1	0.000000	0.000000	0.000000
9.001330	proteinX	3.000000	4.000000	1.000000
9.001330	proteinY	0.000000	2.000000	0.500000
9.001330	rnapol	5.000000	9.000000	4.555556
9.999639	__proteinX_rbs	5.000000	0.000000	0.000000
9.999639	__proteinY_rbs	2.000000	0.000000	0.000000
9.999639	__ribosome	50.000000	0.000000	0.000000
9.999639	__rnapol_rbs	9.000000	0.000000	0.000000
9.999639	p1	1.000000	0.000000	0.000000
9.999639	proteinX	5.000000	5.000000	0.600000
9.999639	proteinY	0.000000	4.000000	0.750000
9.999639	rnapol	6.000000	11.000000	4.000000
10.999015	__proteinX_rbs	4.000000	0.000000	0.000000
10.999015	__proteinY_rbs	2.000000	0.000000	0.000000
10.999015	__ribosome	41.000000	0.000000	0.000000
10.999015	__rnapol_rbs	10.000000	0.000000	0.000000
10.999015	p1	0.000000	0.000000	0.000000
10.999015	proteinX	8.000000	6.000000	0.833333
10.999015	proteinY	0.000000	4.000000	1.500000
10.999015	rnapol	6.000000	13.000000	3.692308
11.999458	__proteinX_rbs	6.000000	0.000000	0.000000
11.999458	__proteinY_rbs	4.000000	0.000000	0.000000
11.999458	__ribosome	33.000000	0.000000	0.000000
11.999458	__rnapol_rbs	9.000000	0.000000	0.000000
11.999458	p1	0.000000	0.000000	0.000000
11.999458	proteinX	10.000000	8.000000	0.875000
11.999458	proteinY	0.000000	6.000000	1.500000
11.999458	rnapol	12.000000	15.000000	3.400000
12.999138	__proteinX_rbs	7.000000	0.000000	0.000000
12.999138	__proteinY_rbs	6.000000	0.000000	0.000000
12.999138	__ribosome	29.000000	0.000000	0.000000
12.999138	__rnapol_rbs	15.000000	0.000000	0.000000
12.999138	p1	0.000000	0.000000	0.000000
12.999138	proteinX	16.000000	9.000000	0.555556
12.999138	proteinY	0.000000	7.000000	1.714286
12.999138	rnapol	15.000000	18.000000	3.000000
13.999122	__proteinX_rbs	6.000000	0.000000	0.000000
13.999122	__proteinY_rbs	6.000000	0.000000	0.000000
13.999122	__ribosome	28.000000	0.000000	0.000000
